name,year,director,writers,actors,types,regions,languages,dates,length,rating,rating_people,stars
"两杆大烟枪 Lock, Stock and Two Smoking Barrels",(1998),盖·里奇,盖·里奇,杰森·弗莱明/德克斯特·弗莱彻/尼克·莫兰/杰森·斯坦森/斯蒂文·麦金托什/尼古拉斯·罗尔/维尼·琼斯/蓝尼·麦克林/P.H.莫里亚蒂/弗兰克·哈珀/史蒂夫·斯威尼/哈吉·利弗/罗尼·福克斯/斯蒂芬·马库斯/瓦斯·布莱克伍德/斯汀/杰克·亚伯拉罕/罗伯·布莱顿/薇拉·黛/阿兰·福德/席德·戈尔德/丹尼·约翰-儒勒/维克多·麦奎尔/安德鲁·蒂曼/马修·沃恩/布拉德·雅各布维茨,剧情/喜剧/犯罪,英国, 英语,1998-08-28(英国),107分钟,9.1,623796,64.1%/29.3%/5.9%/0.5%/0.2%
西西里的美丽传说 Malèna,(2000),朱塞佩·托纳多雷,朱塞佩·托纳多雷/卢恰诺·温琴佐尼,莫妮卡·贝鲁奇/朱塞佩·苏尔法罗/Luciano Federico/玛蒂尔德·皮亚纳/Pietro Notarianni/Gaetano Aronica/Gilberto Idonea/Angelo Pellegrino/Gabriella Di Luzio/Pippo Provvidenti/Maria Terranova/Marcello Catalano/埃丽萨·莫鲁奇/Domenico Gennaro/Vitalba Andrea/Giuseppe Pattavina/Franco Catalano/Daniele Arena/Giovanni Litrico/Gianluca Guarrera,剧情/情色/战争,意大利/美国, 意大利语 / 英语 / 拉丁语 / 古希腊语,2000-10-27(意大利),108分钟,8.9,1020350,55.4%/36.6%/7.4%/0.5%/0.2%
音乐之声 The Sound of Music,(1965),罗伯特·怀斯,乔治·胡达勒克/霍华德·林赛/拉塞尔·克劳斯/恩斯特·莱赫曼/玛丽亚·冯·特拉普,朱莉·安德鲁斯/克里斯托弗·普卢默/埃琳诺·帕克/理查德·海顿/佩吉·伍德/查尔敏·卡尔/希瑟·孟席斯-尤里克/尼古拉斯·哈蒙德/杜安·蔡斯/安吉拉·卡特怀特/黛比·特纳/基姆·卡拉思/安娜·李/波希娅·纳尔逊/本·怀特/丹尼尔·特鲁希特/诺玛·威登/吉尔克里斯特·斯图尔特/马妮·尼克松/埃瓦德妮·贝克/多丽丝·劳埃德/格特鲁德·阿斯特/弗兰克·贝克/史蒂夫·卡鲁瑟斯/山姆·哈里斯/多罗西·吉金斯/利奥达·理查德斯/杰弗里·塞尔/伯纳德·赛尔/诺尔曼·斯蒂凡斯/伯特史蒂文斯/玛丽亚·冯·特拉普,剧情/爱情/歌舞/传记,美国, 英语 / 德语,1965-03-02(美国),174分钟,9.1,631989,62.4%/31.0%/6.1%/0.3%/0.1%
看不见的客人 Contratiempo,(2016),奥里奥尔·保罗,奥里奥尔·保罗,马里奥·卡萨斯/阿娜·瓦格纳/何塞·科罗纳多/巴巴拉·莱涅/弗兰塞斯克·奥雷利亚/帕科·图斯/大卫·塞尔瓦斯/伊尼戈·加斯特西/圣·耶拉莫斯/马内尔·杜维索/布兰卡·马丁内斯/佩雷·布拉索/霍尔迪·布鲁内特/鲍比·冈萨雷斯/玛蒂娜·乌尔塔多,剧情/悬疑/惊悚/犯罪,西班牙, 西班牙语,2017-09-15(中国大陆)/2016-09-23(奇幻电影节)/2017-01-06(西班牙),106分钟,8.8,1334898,48.7%/41.6%/9.1%/0.5%/0.1%
哈利·波特与死亡圣器(下) Harry Potter and the Deathly Hallows: Part 2,(2011),大卫·叶茨,史蒂夫·克洛夫斯/J·K·罗琳,丹尼尔·雷德克里夫/艾玛·沃森/鲁伯特·格林特/海伦娜·伯翰·卡特/拉尔夫·费因斯/艾伦·瑞克曼/玛吉·史密斯/汤姆·费尔顿/邦妮·怀特/朱丽·沃特斯/迈克尔·刚本/伊文娜·林奇/多姆纳尔·格里森/克蕾曼丝·波西/詹森·艾萨克/海伦·麦克洛瑞/马修·刘易斯/梁佩诗/约翰·赫特/大卫·休里斯/加里·奥德曼/吉姆·布劳德本特/艾玛·汤普森/娜塔丽·特纳/蒂莫西·斯波/大卫·布拉德利/罗彼·考特拉尼/凯莉·麦克唐纳/塞伦·希德,奇幻/冒险,美国/英国, 英语,2011-08-04(中国大陆)/2011-07-15(美国),130分钟,9.0,876972,59.5%/31.6%/8.2%/0.6%/0.2%
阿凡达 Avatar,(2009),詹姆斯·卡梅隆,詹姆斯·卡梅隆,萨姆·沃辛顿/佐伊·索尔达娜/西格妮·韦弗/史蒂芬·朗/米歇尔·罗德里格兹/吉奥瓦尼·瑞比西/乔·大卫·摩尔 /希·庞德/韦斯·斯塔迪/拉兹·阿隆索/迪利普·劳/马特·杰拉德/肖恩·安东尼·莫兰/杰森·怀特/斯科特·劳伦斯/凯利·基尔戈/詹姆斯·皮特/肖恩·帕特里克·墨菲/彼得·狄龙/凯文·多曼/凯尔森·亨德森/大卫·范·霍恩/雅克布·托毛里/Julene Renee/卢克·霍克/伍迪·舒尔茨/彼得·门萨/伊拉姆·崔/黛布拉·威尔逊/Chris Mala/马修张伯伦/詹姆斯·盖林/拉斯科·阿特金斯/Jørn Benzon/罗文·贝特杰曼/Robert Catto/罗德尼·库克/Nicole Dionne/安东尼·英格鲁伯/蒂姆·卡诺/卡米尔·基南/迪恩·诺斯利/Emma Law,动作/科幻/冒险,美国, 英语 / 西班牙语,2010-01-04(中国大陆)/2021-03-12(中国大陆重映)/2022-12-12(中国大陆重映)/2009-12-18(美国),162分钟,8.8,1478253,54.2%/34.9%/9.9%/0.8%/0.3%
拯救大兵瑞恩 Saving Private Ryan,(1998),史蒂文·斯皮尔伯格,罗伯特·罗达特,汤姆·汉克斯/汤姆·塞兹摩尔/爱德华·伯恩斯/巴里·佩珀/亚当·戈德堡/范·迪塞尔/吉奥瓦尼·瑞比西/杰瑞米·戴维斯/马特·达蒙/特德·丹森/保罗·吉亚玛提/丹尼斯·法里纳/马克斯·马蒂尼/丹兰·布鲁诺/丹尼尔·切尔奎拉/迪米特里·格里特萨斯/史蒂夫·格里芬/彼得·迈尔斯/亚当·肖/罗尔夫·萨克森/克里·约翰逊/洛克兰·艾肯/尚恩·约翰逊/莱尔德·曼辛托斯/安德鲁·斯科特/马修·夏普/文森特·沃尔什/约翰·沙拉恩/马丁·哈伯/罗非洛·迪格托勒/恩里奇·雷德曼/米歇尔·埃文斯/内森·菲利安/利兰·奥瑟/大卫·维格/瑞恩·赫斯特/哈威·普雷斯内尔/代尔·戴/布莱恩·克兰斯顿/大卫·沃尔/埃里克·罗兰/哈里逊·杨/凯思琳·拜荣/约翰·德·兰西/詹姆斯·恩布里/德里克·李/若昂·科斯塔·梅内塞斯/马克·施泰因迈尔,剧情/战争,美国, 英语 / 法语 / 德语 / 捷克语,1998-11-13(中国大陆)/1998-07-24(美国),169分钟,9.1,675876,60.4%/32.8%/6.2%/0.4%/0.2%
飞越疯人院 One Flew Over the Cuckoo's Nest,(1975),米洛斯·福尔曼,劳伦斯·奥邦/博·古德曼/肯·凯西/达尔·瓦瑟曼,杰克·尼科尔森/丹尼·德维托/克里斯托弗·洛伊德/路易丝·弗莱彻/威尔·萨姆森/特德·马克兰德/布拉德·道里夫/斯加特曼·克罗索斯/迈克尔·贝里曼/彼得·布罗科/穆瓦科·卡姆布卡/威廉·达尔/乔西普·艾利克/西德尼·拉斯克/凯·李/德怀特·马费尔德/路易莎·莫里茨/威廉·雷德菲尔德/菲利普·罗斯/米米·萨奇席恩/文森特·斯卡维利/米斯·斯马尔/德罗斯·V·史密斯,剧情,美国, 英语,1975-11-19(美国),133分钟,9.1,568691,63.5%/29.8%/6.0%/0.5%/0.2%
小鞋子 بچه های آسمان,(1997),马基德·马基迪,马基德·马基迪,默罕默德·阿米尔·纳吉/法拉赫阿米尔·哈什米安/巴哈丽·西迪奇/纳菲丝·贾法-穆罕默迪/费雷什特·萨拉班迪/Dariush Mokhtari/克里斯托弗·马利基,剧情/家庭/儿童,伊朗, 波斯语,1997-02-01(曙光旬国际电影节)/1999-01-22(美国),89分钟,9.2,430049,67.0%/28.4%/4.2%/0.2%/0.1%
功夫,(2004),周星驰,曾瑾昌/陈文强/周星驰/霍昕,周星驰/元秋/元华/黄圣依/梁小龙/陈国坤/田启文/林子聪/林雪/冯克安/释彦能/冯小刚/袁祥仁/张一白/赵志凌/董志华/何文辉/陈凯师/贾康熙/林子善/任珈锐/王仕颖,喜剧/动作/犯罪/奇幻,中国大陆/中国香港, 粤语 / 汉语普通话 / 手语,2004-12-23(中国大陆/中国香港)/2015-01-15(中国大陆3D)/2004-09-14(多伦多电影节),100分钟(3D重映),8.8,1206927,54.5%/34.2%/10.3%/0.8%/0.2%
沉默的羔羊 The Silence of the Lambs,(1991),乔纳森·戴米,托马斯·哈里斯/泰德·塔里,朱迪·福斯特/安东尼·霍普金斯/斯科特·格伦/安东尼·希尔德/布鲁克·史密斯/卡斯·莱蒙斯/弗兰基·费森/泰德·拉文/崔西·沃特/丹·巴特勒/达拉,剧情/惊悚/犯罪,美国, 英语,1991-02-14(美国),118分钟,8.9,935917,54.5%/37.3%/7.5%/0.4%/0.1%
布达佩斯大饭店 The Grand Budapest Hotel,(2014),韦斯·安德森,韦斯·安德森/雨果·吉尼斯/斯蒂芬·茨威格,拉尔夫·费因斯/托尼·雷沃罗利/阿德里安·布罗迪/威廉·达福/裘德·洛/爱德华·诺顿/西尔莎·罗南/蒂尔达·斯文顿/比尔·默瑞/蕾雅·赛杜/欧文·威尔逊/詹森·舒瓦兹曼/马修·阿马立克/F·默里·亚伯拉罕/汤姆·威尔金森/杰夫·高布伦/哈威·凯特尔,剧情/喜剧/冒险,美国/德国/英国, 英语 / 法语 / 德语,2014-02-06(柏林电影节)/2014-03-28(美国),99分钟,8.9,994094,55.1%/35.9%/8.1%/0.7%/0.2%
禁闭岛 Shutter Island,(2010),马丁·斯科塞斯,莱塔·卡罗格里迪斯/丹尼斯·勒翰,莱昂纳多·迪卡普里奥/马克·鲁弗洛/本·金斯利/马克斯·冯·叙多夫/米歇尔·威廉姆斯/艾米莉·莫迪默/派翠西娅·克拉克森/杰基·厄尔·哈利/泰德·拉文/约翰·卡洛·林奇/伊莱亚斯·科泰斯/罗宾·巴特利特/克里斯托弗·邓汉/约瑟夫·斯科拉,剧情/悬疑/惊悚,美国, 英语 / 德语,2010-02-13(柏林电影节)/2010-02-19(美国),138 分钟,8.9,1027712,52.5%/39.2%/7.7%/0.5%/0.1%
蝴蝶效应 The Butterfly Effect,(2004),埃里克·布雷斯,J·麦基·格鲁伯/埃里克·布雷斯,阿什顿·库彻/梅洛拉·沃尔特斯/艾米·斯马特/埃尔登·汉森/威廉姆·李·斯科特/约翰·帕特里克·阿梅多利/艾琳·戈洛瓦娅/凯文·G·施密特/杰西·詹姆斯/罗根·勒曼/莎拉·威多斯/杰克·凯斯/卡梅隆·布莱特/埃里克·斯托尔兹/考乐姆·吉斯·雷尼/凯文·杜兰,剧情/科幻/悬疑/惊悚,美国/加拿大, 英语,2004-01-23(美国),113分钟,8.9,983517,53.7%/37.5%/8.1%/0.6%/0.1%
哈利·波特与阿兹卡班的囚徒 Harry Potter and the Prisoner of Azkaban,(2004),阿方索·卡隆,史蒂夫·克洛夫斯/J·K·罗琳,丹尼尔·雷德克里夫/艾玛·沃森/鲁伯特·格林特/加里·奥德曼/朱丽·沃特斯/邦妮·怀特/大卫·休里斯/迈克尔·刚本/艾伦·瑞克曼/玛吉·史密斯/汤姆·费尔顿/艾玛·汤普森/朱莉·克里斯蒂/蒂莫西·斯波,奇幻/冒险,英国/美国, 英语,2004-09-10(中国大陆)/2004-05-31(英国),141 分钟,9.0,780654,56.9%/34.6%/8.0%/0.4%/0.1%
致命魔术 The Prestige,(2006),克里斯托弗·诺兰,乔纳森·诺兰/克里斯托弗·诺兰/克里斯多夫·普利斯特,休·杰克曼/克里斯蒂安·贝尔/迈克尔·凯恩/丽贝卡·豪尔/斯嘉丽·约翰逊/大卫·鲍伊/安迪·瑟金斯/派珀·佩拉博/萨曼塔·马霍林/丹尼尔·戴维斯/吉姆·皮多克/克里斯托弗·尼姆/马克·瑞安/罗杰·里斯/杰米·哈里斯/罗恩·帕金斯/瑞奇·杰/安东尼·德·马克/冀朝理,剧情/悬疑/惊悚,英国/美国, 英语,2006-10-17(罗马电影节)/2006-10-20(美国),130分钟,8.9,899485,54.4%/37.0%/7.8%/0.6%/0.2%
心灵捕手 Good Will Hunting,(1997),格斯·范·桑特,本·阿弗莱克/马特·达蒙,马特·达蒙/罗宾·威廉姆斯/本·阿弗莱克/斯特兰·斯卡斯加德/明妮·德里弗/卡西·阿弗莱克/科尔·豪瑟/约翰·迈顿/丹·华盛顿/艾莉森·福兰德/维克·萨海/史蒂文·科兹洛夫斯基/斯科特·威廉姆·文特斯/吉米·弗林/乔治·普林普顿/弗朗切斯科·克莱门特,剧情,美国, 英语,1997-12-05(美国),126分钟,9.0,753510,56.2%/35.9%/7.2%/0.5%/0.1%
超脱 Detachment,(2011),托尼·凯耶,卡尔·隆德,阿德里安·布罗迪/马西娅·盖伊·哈登/詹姆斯·肯恩/克里斯蒂娜·亨德里克斯/刘玉玲/布莱思·丹纳/蒂姆·布雷克·尼尔森/威廉·彼德森/布莱恩·克兰斯顿/萨米·盖尔/路易斯·佐里奇/小伊塞亚·维特洛克/大卫·豪森/约翰·塞纳迭姆博/西莉亚·奥/罗南·鲁宾斯坦/阿尔·卡尔德隆/布雷南·布朗/里根·利奥纳德/詹姆斯·霍西/乔什·帕斯/瑞内·菲利斯·史密斯/道格·伊·道格/帕特里夏·雷/萨曼萨·罗根/拉尔夫·罗德里格斯,剧情,美国, 英语,2011-04-25(翠贝卡电影节),98分钟,9.0,648066,59.3%/32.5%/7.3%/0.7%/0.2%
低俗小说 Pulp Fiction,(1994),昆汀·塔伦蒂诺,昆汀·塔伦蒂诺/罗杰·阿夫瑞,约翰·特拉沃尔塔/乌玛·瑟曼/阿曼达·普拉莫/蒂姆·罗斯/塞缪尔·杰克逊/菲尔·拉马/布鲁斯·威利斯/弗兰克·威利/布尔·斯蒂尔斯/文·瑞姆斯/劳拉·拉芙蕾丝/保罗·考尔德伦/布罗娜·加拉赫/罗姗娜·阿奎特/埃里克·斯托尔兹/玛丽亚·德·梅黛洛,剧情/喜剧/犯罪,美国, 英语 / 西班牙语 / 法语,1994-05-12(戛纳电影节)/1994-10-14(美国),154分钟,8.9,878125,55.5%/34.7%/8.7%/0.8%/0.3%
摩登时代 Modern Times,(1936),查理·卓别林,查理·卓别林,查理·卓别林/宝莲·高黛/亨利·伯格曼/蒂尼·桑福德/切斯特·康克林/汉克·曼/斯坦利·布莱斯通/阿尔·欧内斯特·加西亚/理查德·亚历山大/塞西尔·雷诺兹/米拉·麦金尼/默多克·麦夸里/威尔弗雷德·卢卡斯/爱德华·勒桑/弗雷德·马拉泰斯塔/萨米·斯坦/特德·奥利弗/诺曼·安斯利/博比·巴伯/海尼·康克林/格洛丽亚·德黑文/帕特·弗莱厄蒂/弗兰克·哈格尼/帕特·哈蒙/劳埃德·英格拉哈姆/沃尔特·詹姆斯/爱德华·金博尔/杰克·洛/巴迪·梅辛杰/布鲁斯·米切尔/弗兰克·莫兰/詹姆斯·C·莫顿/路易·纳托/J·C·纽金特/拉斯·鲍威尔/约翰兰德/哈里·威尔逊,剧情/喜剧/爱情,美国, 英语,1936-02-25(美国),87分钟,9.3,318015,71.1%/24.8%/3.7%/0.2%/0.1%
春光乍泄 春光乍洩,(1997),王家卫,王家卫,张国荣/梁朝伟/张震/格利高里·戴顿,剧情/爱情/同性,中国香港/日本/韩国, 粤语 / 汉语普通话 / 西班牙语,1997-05-30(中国香港)/1997-05-17(戛纳电影节),96分钟,9.0,662062,58.1%/33.5%/7.5%/0.6%/0.3%
海豚湾 The Cove,(2009),路易·西霍尤斯,马克·蒙雷,路易·西霍尤斯/瑞克·欧贝瑞/哈迪·琼斯/保罗·沃森/森下丈二/罗杰·S·佩恩/迈克尔·伊利夫/伊恩·坎贝尔/道格·德马斯特/戴夫·拉斯托维奇/查尔斯·汉柏顿/桜井速人/曼迪-蕾·克鲁克香克/柯克·克雷克/约翰·波特/汉娜·墨尔买德/杰夫·潘图克霍夫/伊莎贝尔·卢卡斯/海顿·潘妮蒂尔,纪录片,美国, 英语 / 日语,2009-07-31(美国),92分钟,9.3,366967,71.6%/22.7%/4.8%/0.5%/0.4%
喜剧之王 喜劇之王,(1999),周星驰,曾瑾昌/周星驰/李敏/郑文辉/冯勉恒/梁嘉杰,周星驰/张柏芝/莫文蔚/吴孟达/林子善/田启文/李兆基/成龙/李思捷/郑文辉,剧情/喜剧/爱情,中国香港, 粤语,1999-02-13(中国香港),89分钟,8.8,1013456,52.0%/38.1%/9.1%/0.6%/0.1%
美国往事 Once Upon a Time in America,(1984),赛尔乔·莱昂内,皮耶罗·德·贝纳迪/莱奥纳多·本韦努蒂/弗兰科·奥卡利/恩里科·梅迪欧力/弗兰科·费里尼/赛尔乔·莱昂内,罗伯特·德尼罗/詹姆斯·伍兹/伊丽莎白·麦戈文/乔·佩西/伯特·杨/塔斯黛·韦尔德/特里特·威廉斯/丹尼·爱罗/理查德·布赖特/詹姆斯·海登/威廉·弗西斯/达兰妮·弗鲁格/拉里·拉普/理查德·弗让吉/罗伯特·哈珀/詹妮弗·康纳利,剧情/犯罪,美国/意大利, 英语 / 法语 / 意大利语,1984-02-17(波士顿首映)/1984-09-28(意大利),229分钟(导演剪辑版),9.2,433005,65.8%/27.3%/5.9%/0.6%/0.3%
致命ID Identity,(2003),詹姆斯·曼高德,迈克尔·库尼,约翰·库萨克/雷·利奥塔/阿曼达·皮特/约翰·浩克斯/阿尔弗雷德·莫里纳/克里·杜瓦尔/约翰·C·麦金雷/威廉姆·李·斯科特/杰克·布塞/普路特·泰勒·文斯/瑞贝卡·德·莫妮/卡门·阿尔根齐亚诺/马绍尔·贝尔/莱拉·肯泽尔/马特·莱斯切尔/布莱特·罗尔/霍尔姆斯·奥斯本/弗雷德里克·科芬/乔·哈特/迈克尔·赫希/泰伦斯·伯尼·海恩斯,剧情/悬疑/惊悚,美国, 英语,2003-04-25(美国),90分钟,8.9,869897,52.7%/38.7%/7.9%/0.6%/0.2%
杀人回忆 살인의 추억,(2003),奉俊昊,奉俊昊/沈成宝/金光林,宋康昊/金相庆/金雷夏/宋在浩/边希峰/高瑞熙/柳泰浩/朴努植/朴海日/全美善/徐永嬅/崔钟律/刘承睦/申贤宗/李在应/郑仁仙/吴龙/朴真宇/朴泰京/沈成宝,剧情/动作/悬疑/惊悚/犯罪,韩国, 韩语 / 英语,2003-05-02(韩国),132分钟,8.9,760083,54.6%/37.2%/7.5%/0.6%/0.2%
哈利·波特与密室 Harry Potter and the Chamber of Secrets,(2002),克里斯·哥伦布,史蒂夫·克洛夫斯/J·K·罗琳,丹尼尔·雷德克里夫/艾玛·沃森/鲁伯特·格林特/汤姆·费尔顿/理查德·格雷弗斯/费奥纳·肖/托比·琼斯/朱丽·沃特斯/邦妮·怀特/詹森·艾萨克/肯尼思·布拉纳/艾伦·瑞克曼/理查德·哈里斯/玛吉·史密斯/约翰·克里斯/肖恩·比格斯代夫/克里斯·兰金/克里斯蒂安·库尔森,奇幻/冒险,英国/美国, 英语,2003-01-24(中国大陆)/2002-11-15(英国/美国),161分钟,8.9,807936,53.6%/37.2%/8.7%/0.4%/0.1%
红辣椒 パプリカ,(2006),今敏,水上清资/今敏/筒井康隆,林原惠美/江守彻/堀胜之祐/古谷彻/大塚明夫/山寺宏一/田中秀幸/兴梠里美/岩田光央/爱河里花子/川濑晶子/太田真一郎/福松进纱/胜杏里/宫下荣治/三户耕三/今敏/筒井康隆,科幻/动画/悬疑/惊悚,日本, 日语,2006-09-02(威尼斯电影节)/2006-11-25(日本),90 分钟,9.1,501565,61.9%/30.1%/7.0%/0.7%/0.3%
加勒比海盗 Pirates of the Caribbean: The Curse of the Black Pearl,(2003),戈尔·维宾斯基,泰德·艾略特/特里·鲁西奥/斯图尔特·贝亚蒂耶/杰·沃尔伯特,约翰尼·德普/杰弗里·拉什/奥兰多·布鲁姆/凯拉·奈特莉/杰克·达文波特/乔纳森·普雷斯,动作/奇幻/冒险,美国, 英语,2003-11-21(中国大陆)/2003-07-09(美国),143 分钟,8.8,899685,51.8%/38.8%/8.8%/0.5%/0.1%
七宗罪 Se7en,(1995),大卫·芬奇,安德鲁·凯文·沃克,摩根·弗里曼/布拉德·皮特/凯文·史派西/格温妮斯·帕特洛/安德鲁·凯文·沃克/约翰·卡西尼/雷格·E·凯蒂/李·厄米,剧情/悬疑/惊悚/犯罪,美国, 英语,1995-09-22(美国),127分钟,8.8,980198,50.9%/39.3%/9.0%/0.6%/0.2%
一一,(2000),杨德昌,杨德昌,吴念真/李凯莉/金燕玲/张洋洋/萧淑慎/尾形一成/陈希圣/林孟瑾/陈以文/柯宇纶/张育邦/柯素云/唐如韫/徐淑媛/曾心怡/陶传正,剧情/爱情/家庭,中国台湾/日本, 汉语普通话 / 闽南语 / 英语 / 日语,2017-07-28(中国台湾)/2000-05-14(戛纳电影节)/2000-12-16(日本),173分钟,9.1,429448,65.9%/26.2%/6.8%/0.8%/0.4%
狩猎 Jagten,(2012),托马斯·温特伯格,托马斯·温特伯格/托比亚斯·林道赫姆,麦斯·米科尔森/托玛斯·博·拉森/安妮卡·韦德科普/拉丝·弗格斯托姆/苏西·沃德/亚历山德拉·拉帕波特/布贾内·亨里克森/安妮·路易丝·哈辛/拉斯·兰特,剧情,丹麦/瑞典, 丹麦语 / 英语 / 波兰语,2012-05-20(戛纳电影节)/2013-01-10(丹麦),115分钟,9.1,418390,62.9%/31.0%/5.3%/0.4%/0.4%
唐伯虎点秋香 唐伯虎點秋香,(1993),李力持,李力持/谷德昭/陈文强,周星驰/巩俐/陈百祥/郑佩佩/朱咪咪/梁家仁/苑琼丹/梁荣忠/黄一山/黄霑/吴镇宇/刘家辉/蓝洁瑛/谷德昭/陈辉虹/李健仁/宣萱/温翠苹,喜剧/爱情/古装,中国香港, 粤语,1993-07-01(中国香港),102 分钟,8.7,1132610,48.6%/40.6%/10.2%/0.6%/0.1%
7号房的礼物 7번방의 선물,(2013),李焕庆,李焕庆/刘英雅,柳承龙/朴信惠/郑镇荣/金正泰/吴达洙/朴元尚/郑满植/葛素媛,剧情/喜剧/家庭,韩国, 韩语,2013-01-23(韩国),127分钟,8.9,581767,57.6%/33.5%/7.9%/0.8%/0.3%
被嫌弃的松子的一生 嫌われ松子の一生,(2006),中岛哲也,中岛哲也/山田宗树,中谷美纪/永山瑛太/香川照之/市川实日子/伊势谷友介/柄本明/黑泽明日香/荒川良良/柴崎幸/土屋安娜/奥之矢佳奈/谷原章介/武田真治/片平渚/宫藤官九郎/角野卓造/田中要次/木村凯拉/谷中敦/剧团一人,剧情/歌舞,日本, 日语,2006-05-27(日本),130 分钟,8.8,730821,55.3%/33.9%/9.2%/1.1%/0.5%
蝙蝠侠：黑暗骑士崛起 The Dark Knight Rises,(2012),克里斯托弗·诺兰,大卫·S·高耶/乔纳森·诺兰/克里斯托弗·诺兰,克里斯蒂安·贝尔/汤姆·哈迪/安妮·海瑟薇/约瑟夫·高登-莱维特/玛丽昂·歌迪亚/加里·奥德曼/迈克尔·凯恩/摩根·弗里曼/朱诺·坦普尔/乔什·平茨/丹尼尔·逊亚塔/内斯特·卡博内尔/伯恩·戈曼/连姆·尼森/乔伊·金/艾丹·吉伦/基里安·墨菲/乔什·斯图沃特/马修·莫迪恩/本·门德尔森,剧情/动作/科幻/惊悚/犯罪,美国/英国, 英语 / 阿拉伯语,2012-08-27(中国大陆)/2012-07-20(美国),165分钟,8.9,757116,53.9%/36.1%/9.0%/0.7%/0.2%
甜蜜蜜,(1996),陈可辛,岸西,黎明/张曼玉/杨恭如/曾志伟/杜可风/张同祖/诸慧荷/丁羽,剧情/爱情,中国香港, 粤语 / 汉语普通话 / 英语,2015-02-13(中国大陆)/1996-11-02(中国香港),118分钟(中国大陆),8.9,599878,55.1%/36.5%/7.7%/0.5%/0.2%
爱在黎明破晓前 Before Sunrise,(1995),理查德·林克莱特,理查德·林克莱特/金·克里桑,伊桑·霍克/朱莉·德尔佩/安德莉亚·埃克特/汉诺·波西尔/卡尔·布拉克施魏格尔/特克斯·鲁比诺威茨/埃尔尼·曼戈尔德/多米尼克·卡斯特尔/海蒙·玛丽亚·巴汀格/哈拉尔德·魏格莱因/汉斯·魏因加特纳/彼得·艾利·休默/休伯特·法比安·库尔特勒/约翰·斯洛斯/克里斯蒂安·安科维奇/亚当·戈德堡/保罗·波伊特,剧情/爱情,美国/奥地利/瑞士, 英语 / 德语 / 法语,1995-01-27(美国),101分钟,8.8,723372,54.5%/34.5%/9.7%/1.0%/0.3%
请以你的名字呼唤我 Call Me by Your Name,(2017),卢卡·瓜达尼诺,詹姆斯·伊沃里/安德烈·艾席蒙,艾米·汉莫/提莫西·查拉梅/迈克尔·斯图巴/阿蜜拉·卡萨/艾斯特·加瑞尔/维克图瓦尔·杜布瓦/旺妲·卡布里奥罗/安东尼奥·里莫尔迪/埃琳娜·布奇/马可·斯格罗索/安德烈·艾席蒙/彼得·斯皮尔斯,剧情/爱情/同性,意大利/法国/巴西/美国, 英语 / 意大利语 / 法语 / 德语 / 希伯来语,2017-01-22(圣丹斯电影节)/2017-11-24(美国)/2018-01-25(意大利),132分钟,8.8,760893,55.4%/33.2%/9.7%/1.1%/0.5%
第六感 The Sixth Sense,(1999),M·奈特·沙马兰,M·奈特·沙马兰,布鲁斯·威利斯/海利·乔·奥斯蒙/托妮·科莱特/奥莉维亚·威廉姆斯/唐尼·沃尔伯格/特拉沃·摩根/彼得·安东尼·唐伯蒂斯/格伦·菲茨杰拉德/米莎·巴顿/Lisa Summerour/法尔德斯·巴姆/杰弗里·泽布尼斯,剧情/悬疑/惊悚,美国, 英语 / 拉丁语 / 西班牙语,1999-08-06(美国),107分钟,8.9,584415,54.7%/37.2%/7.5%/0.5%/0.1%
超能陆战队 Big Hero 6,(2014),唐·霍尔,乔丹·罗伯茨/丹尼尔·吉尔森/罗伯特·L·贝尔德,斯科特·安第斯/瑞恩·波特/丹尼尔·海尼/T·J·米勒/郑智麟/小达蒙·韦恩斯/珍尼希斯·罗德里格兹/詹姆斯·克伦威尔/艾伦·图代克/玛娅·鲁道夫/亚布拉哈姆·本鲁比/凯蒂·洛斯/比利·布什/丹尼尔·吉尔森/保罗·布里格斯,喜剧/动作/科幻/动画/冒险,美国, 英语,2015-02-28(中国大陆)/2020-07-31(中国大陆重映)/2014-10-23(东京电影节)/2014-11-07(美国),102分钟,8.7,1063898,48.9%/40.5%/9.9%/0.6%/0.1%
入殓师 おくりびと,(2008),泷田洋二郎,小山薰堂,本木雅弘/广末凉子/山崎努/吉行和子/笹野高史/余贵美子,剧情,日本, 日语,2021-10-29(中国大陆)/2008-08-23(蒙特利尔电影节)/2008-09-13(日本),130分钟,8.9,698089,53.2%/37.7%/8.4%/0.6%/0.2%
重庆森林 重慶森林,(1994),王家卫,王家卫,林青霞/金城武/梁朝伟/王菲/周嘉玲,剧情/爱情,中国香港, 粤语 / 汉语普通话 / 英语 / 印地语 / 日语,1994-07-14(中国香港),102分钟,8.8,852982,51.3%/37.8%/9.8%/0.8%/0.3%
